1672605250		Temp		7.7407174
1672605254		Humid		6.5803111
1672605256		Temp		7.1504425
1672605258		Humid		18.7907392
1672605259		Temp		16.9707781
1672605260		Humid		6.5375239
1672605261		Temp		3.7300841
1672605264		Humid		17.5586382
1672605268		Temp		8.0400337
1672605270		Humid		16.9609259
1672605273		Temp		1.6767582
1672605275		Humid		14.1439651
1672605278		Temp		2.8552754
1672605282		Humid		5.2820191
1672605284		Temp		14.7429526
1672605285		Humid		2.3816749
1672605287		Temp		19.6743858
1672605291		Humid		7.6599081
1672605292		Temp		1.9433496
1672605293		Humid		2.4271287
1672605296		Temp		10.4107287
1672605298		Touch		1
1672605299		Temp		7.7110985
1672605300		Temp		9.4625584
1672605306		Temp		10.1489259
1672605310		Humid		13.1953961
1672605313		Touch		0
1672605315		Humid		18.0243152
1672605321		Temp		9.0969795
1672605327		Humid		17.747648
1672605329		Temp		1.3348392
1672605333		Humid		9.2293413
1672605335		Temp		19.1625617
1672605341		Humid		9.3693154
1672605343		Temp		9.1869306
1672605349		Temp		13.0700718
1672605354		Humid		8.3697128
1672605356		Humid		14.4957368
1672605360		Humid		11.0262263
1672605366		Temp		17.6229119
1672605369		Temp		8.5616485
1672605373		Humid		12.8669129
1672605377		Temp		18.7315384
1672605382		Humid		12.8045472
1672605388		Temp		15.2575964
1672605392		Touch		1
1672605395		Temp		17.4613766
1672605396		Humid		4.87451
1672605400		Temp		19.36539
1672605406		Humid		19.0162213
1672605409		Temp		15.4459094
1672605412		Humid		14.9008185
1672605414		Temp		18.2933566
1672605418		Temp		14.8830261
1672605419		Touch		0
1672605427		Temp		6.4025615
1672605430		Humid		19.6664664
1672605433		Temp		19.248181
1672605435		Humid		1.3188408
1672605439		Temp		3.2130241
1672605442		Humid		14.5725012
1672605445		Temp		3.2496684
1672605449		Humid		17.337729
1672605452		Temp		12.2281385
1672605453		Humid		7.71337
1672605454		Temp		12.3012251
1672605458		Humid		13.3737112
1672605459		Temp		3.9758165
1672605462		Humid		2.7512934
1672605464		Temp		19.4187813
1672605466		Humid		16.7277462
1672605471		Temp		17.1786128
1672605475		Humid		2.487813
1672605481		Temp		12.6646118
1672605483		Humid		6.1270136
1672605488		Temp		2.4009842
1672605492		Humid		2.7672172
1672605493		Temp		9.7724017
1672605495		Humid		16.0461635
1672605501		Temp		15.8597397
1672605503		Humid		10.4494657
1672605509		Temp		6.8813835
1672605513		Humid		11.2691306
1672605514		Temp		8.9977155
1672605516		Touch		1
1672605517		Touch		1
1672605519		Humid		17.9374752
1672605522		Temp		11.1336542
1672605523		Humid		1.3484594
1672605528		Humid		2.1376325
1672605532		Touch		0
1672605535		Temp		19.0370394
1672605541		Humid		19.8147209
1672605544		Temp		18.782336
1672605550		Humid		3.2444619
1672605553		Temp		17.3117783
1672605555		Humid		5.9476285
1672605556		Temp		5.8848022
1672605561		Temp		4.8417402
1672605563		Humid		15.8418502
